Label,Count
bug-report,659
feature-request,598
bug,136
optimization,99
react,82
user-experience,78
javascript,68
performance-optimization,63
resource-optimization,57
tensorflow,53
configuration-issue,52
documentation,51
devtools,50
code-review,50
debugging,49
performance-issue,47
machine-learning,44
question,43
installation-issue,42
compilation-error,42
crash,40
performance-improvement,38
error-message,36
error-report,36
bug-fix,36
pull-request,36
testing,35
error-handling,32
accessibility,30
image-processing,30
compilation-issue,29
ui-improvement,27
compatibility-issue,26
devtools-issue,26
build-issue,26
runtime-error,25
ui-ux,25
test-failure,25
opencv,25
configuration-option,24
state-management,24
vscode,22
javascript-error,21
build-error,20
contribution,20
build-configuration,19
rendering-issue,19
version-compatibility,19
gpu-optimization,19
crash-report,19
build-failure,18
support-request,18
performance,17
contribution-guidelines,17
regression,16
missing-feature,16
dependency-issue,16
ui-optimization,15
configuration,15
linker-error,15
user-interface,15
enhancement,14
navigation,14
configuration-error,13
code-quality,13
unexpected-behavior,12
ui-issue,12
stack-trace,12
productivity,12
ux-improvement,12
improvement,12
library-issue,12
cross-compilation,12
python,12
keyboard-shortcuts,12
fix-request,12
reproducible-issue,11
context-api,11
security,11
keras,11
import-error,11
gpu-issues,11
license-agreement,11
async-programming,10
code-optimization,10
issue,10
configuration-problem,10
compiler-error,10
store-error,9
extension-issue,9
error,9
connection-issue,9
request-for-comment,9
hooks,9
validation,9
customization,9
memory-leak,9
dependency-management,9
c++,9
documentation-issue,9
compiler-optimization,9
segmentation-fault,9
version-comparison,9
software-bug,9
keyboard-shortcut,9
terminal,9
editor,9
installation-problem,8
issue-report,8
devtools-bug,8
reproduction-steps,8
dependency-problem,8
backward-compatibility,8
thread-safety,8
gpu,8
tensor-flow,8
overflow-error,8
ui,8
rpc,8
wallet-issue,8
video-processing,8
opencv-error,8
server-side-rendering,7
api-optimization,7
logging,7
new-feature,7
algorithm-optimization,7
library-optimization,7
compatibility,7
model-conversion,7
tflite,7
conversion-issue,7
deep-learning,7
undefined-reference,7
support,7
assertion-error,7
invalid-input,7
rpc-api,7
missing-dependency,7
test-coverage,7
onnx,7
license-compliance,7
browser-compatibility,6
integration,6
type-system,6
ui-behavior,6
version-specific-issue,6
c-api,6
optimization-issue,6
benchmarking,6
type-mismatch,6
memory-overflow,6
integer-overflow,6
editor-features,6
software-configuration,6
rpc-error,6
dnn,6
contributor-agreement,6
onnx-support,6
onnx-importer,6
reproducible,5
type-error,5
ui-ux-issue,5
comparison,5
exception-handling,5
debugging-tool,5
code-organization,5
component-lifecycle,5
integration-issue,5
api-usage,5
warning,5
best-practices,5
use-effect,5
typescript,5
help-wanted,5
package-management,5
programming-error,5
optimization-suggestion,5
training-issue,5
model-optimization,5
distributed-training,5
cuda-support,5
tensorflow-issue,5
import-issue,5
tensorflow-lite,5
tensorflow-error,5
compiler-support,5
api-change,5
model-training,5
reproduction-issue,5
compiler-issue,5
documentation-request,5
attribute-error,5
programming-language,5
ios,5
activation-function,5
cross-platform,5
parallel-processing,5
api-documentation,5
build-system,5
cuda,5
gpu-issue,5
invalid-argument,5
segfault,5
settings,5
testing-issue,5
editor-configuration,5
incorrect-behavior,5
input-validation,5
wallet,5
wallet-management,5
refactoring,5
build-optimization,5
rpc-issue,5
exception,5
undefined-behavior,5
pr-readiness-checklist,5
open-source-library,5
open-cv,5
cross-platform-issue,4
cannot-remove-node,4
javascript-bug,4
suspense,4
cannot-add-node,4
reproduction-steps-provided,4
extension,4
dom-manipulation,4
error-reporting,4
event-handling,4
api-design,4
resource-availability,4
component-optimization,4
enhancement-request,4
rendering,4
cleanup,4
integration-request,4
build-process,4
clarification-needed,4
tf-lite,4
model-loading-error,4
python-error,4
cmake,4
build-problem,4
neural-networks,4
memory-management,4
python-version,4
training,4
object-detection,4
version-mismatch,4
android,4
xla,4
ui-issues,4
computer-vision,4
tutorial,4
platform-support,4
tensorflow-issues,4
overflow,4
cpu-optimization,4
gpu-related,4
numpy,4
assertion-failure,4
inference-error,4
linux,4
missing-information,4
task-management,4
tab-management,4
terminal-issue,4
behavior,4
search-functionality,4
screen-reader,4
merge-request,4
programming-language-agnostic,4
timeout-error,4
vscode-issue,4
protocol-change,4
simplification,4
ci-failure,4
compilation,4
intermittent-issue,4
assertion-failed,4
patch-submission,4
hardware-support,4
store-issue,3
component-issue,3
duplicate-id-error,3
strict-mode,3
element-not-found,3
reproducible-error,3
false-positive,3
dependency-error,3
unsupported-operation,3
module-not-found,3
unsupported-feature,3
sync-issue,3
highlighting,3
behavior-change,3
function-component,3
react-component,3
react-optimization,3
behavioral-issue,3
context-management,3
html-rendering,3
best-practice,3
api-extension,3
api-extensions,3
formatting,3
linting,3
event-listener,3
callback,3
concurrent-mode,3
synchronization,3
extension-problem,3
functional-component,3
deprecation,3
api-implementation,3
scrolling-behavior,3
inference,3
model-saving,3
serialization,3
gpu-support,3
resource-leak,3
tf-issue,3
keras-issue,3
missing-module,3
reproduction-required,3
error-resolution,3
tf-data,3
gradient-computation,3
model-deployment,3
issue-reproduction,3
custom-code,3
android-app,3
swift,3
configuration-options,3
java,3
quantization,3
optimization-request,3
library-configuration,3
pose-estimation,3
compiler-flags,3
matrix-multiplication,3
mobile-app,3
debugging-issue,3
gpu-error,3
library-missing,3
out-of-memory,3
invalid-argument-error,3
conversion-error,3
library-issues,3
documentation-bug,3
incorrect-output,3
consistency,3
ui-visualization,3
layout,3
command-execution,3
suggestion,3
settings-sync,3
command-center,3
terminal-buffer,3
diff-editor,3
port-forwarding,3
command-palette,3
search-improvement,3
vscode-extension,3
debug,3
ui-enhancement,3
color-scheme,3
keybinding,3
syntax-highlighting,3
environment-variable,3
user-experience-improvement,3
ide-configuration,3
file-system-error,3
ide-issues,3
intellisense,3
user-error,3
programming-issue,3
networking,3
compatibility-problem,3
invalid-report,3
invalid-issue,3
code-improvement,3
transaction-processing,3
request-for-feature,3
fuzzing,3
api-enhancement,3
mempool-optimization,3
transaction,3
fee-management,3
security-fix,3
transaction-fee,3
mempool,3
multithreading,3
maintenance,3
security-issue,3
undefined-symbol,3
stability-issue,3
pruning,3
request-for-help,3
parameter-validation,3
make-error,3
wallet-optimization,3
expected-behavior,3
bugfix,3
transaction-error,3
intermittent-failure,3
debug-log,3
resource-issue,3
patch,3
openvino,3
patch-request,3
g-api,3
cross-language-comparison,3
c++-compiler-error,3
video-capture,3
cmake-issue,3
cmake-error,3
software-optimization,3
camera-support,3
onnx-import,3
devtools-error,2
removal-failure,2
rendering-error,2
forward-ref,2
development-mode,2
installation-error,2
error-message-provided,2
chrome-extension-issue,2
redux,2
error-stack,2
code-execution-error,2
ubuntu-issue,2
useeffect,2
infinite-loop,2
id-unique-error,2
hook-parsing,2
web-development,2
dev-tools,2
eslint-plugin,2
conditional-statement,2
console-error,2
profiling,2
component-re-render,2
webpack-error,2
eslint,2
context-provider,2
undefined-variable,2
function-not-found,2
browser-issue,2
duplicate-id,2
emoji-support,2
ui-visual-issue,2
webpack,2
update-request,2
type-annotation,2
decoupling,2
hook-usage,2
development-tool,2
react-library,2
default-value,2
conditional-rendering,2
request-for-enhancement,2
keyboard-events,2
prop-types,2
reconciliation,2
production-mode,2
migration,2
lifecycle-method,2
component-tree,2
rendering-optimization,2
static-analysis,2
release-management,2
dependencies,2
api-exposure,2
component-behavior,2
deprecation-warning,2
api,2
ui-configuration,2
batching,2
state-update,2
runtime-configuration,2
component-interaction,2
backend,2
missing-function,2
state-updates,2
react-issues,2
unintended-behavior,2
extension-configuration,2
react-hooks,2
behavior-question,2
update-issue,2
timeout,2
functionality-enhancement,2
api-limitation,2
library-extension,2
scrolling,2
lifecycle-methods,2
library-usage,2
access-issue,2
error-description,2
code-issue,2
deserialization,2
gpu-acceleration,2
determinism,2
help-needed,2
android-support,2
delegate-issue,2
freezing-issue,2
performance-problem,2
gpu-configuration,2
environment-configuration,2
learning-rate,2
data-issues,2
implementation-change,2
preprocessing,2
forward-accumulator,2
policy,2
ios-support,2
model-accuracy,2
oom-error,2
environment-issues,2
custom-gradient,2
download-issue,2
gpu-delegate,2
encoding-issue,2
protobuf,2
attributeerror,2
hardware-optimization,2
simplified-code,2
increased-productivity,2
education-and-learning,2
reduced-error-rate,2
model-improvement,2
custom-op,2
language-support,2
code-readability,2
padding,2
model-export,2
deprecated-api,2
api-improvement,2
parameter-configuration,2
floating-point-precision,2
experimental-feature,2
file-path-issue,2
io-error,2
resource-access-error,2
cross-platform-support,2
architecture-support,2
generalization,2
clarification,2
mathematics,2
dimension-mismatch,2
training-error,2
internal-error,2
machine-learning-error,2
saved-model,2
check-failure,2
development-tool-issue,2
jni-error,2
numerical-stability,2
gpu-overflow,2
overflow-bug,2
numerical-overflow,2
module-not-found-error,2
aborted-error,2
gpu-crash,2
out-of-memory-error,2
gpu-related-issue,2
serialization-error,2
math-library-issue,2
custom-code-issue,2
java-exception,2
version-compatibility-issue,2
math-operations,2
missing-attribute,2
custom-code-involved,2
incompatibility,2
file-system,2
font-issue,2
vscode-extensions,2
ux,2
linux-support,2
profile-management,2
reproducible-example,2
test-case,2
placeholder,2
extension-issues,2
backup,2
session-management,2
default-configuration,2
disposal-issue,2
process-management,2
rendering-bug,2
cursor,2
workspace-management,2
windows-issues,2
code-formatting,2
styling,2
icon-design,2
interface-improvement,2
jsdoc,2
notification,2
window-management,2
macos,2
proxy-authentication,2
interface,2
