Label,Count
bug,851
feature-request,310
machine-learning,281
enhancement,233
react,168
javascript,166
tensorflow,163
error,137
crash,101
performance,96
documentation,84
user-experience,83
ui,78
vscode,77
devtools,76
opencv,75
testing,68
python,67
gpu,66
debugging,62
configuration,60
linux,59
windows,59
code-review,56
optimization,54
deep-learning,54
issue,48
image-processing,48
compilation-error,47
regression,46
c++,41
model-training,39
error-handling,38
installation,37
ubuntu,35
pull-request,35
ux,33
runtime-error,32
state-management,32
keras,32
reproducible,31
accessibility,31
configuration-issue,31
wallet,31
macos,30
question,29
terminal,29
installation-issue,28
tflite,28
cuda,28
exception,27
editor,27
rendering,26
help-wanted,25
software-development,25
performance-optimization,25
new-feature,25
build-issue,25
build-failure,25
error-message,24
missing-feature,24
unexpected-behavior,24
linker-error,24
compilation-issue,24
security,24
cross-platform,23
cmake,23
open-source,22
usability,22
cross-compilation,22
compilation,22
test-failure,22
rpc,22
build,21
api,21
chrome-extension,20
needs-debugging,20
bug-report,20
logging,20
code-quality,20
contribution,20
development,19
warning,19
compatibility,19
dnn,19
bitcoin,19
checklist,19
build-error,18
web-development,18
navigation,18
model-conversion,18
ui-issue,17
user-interface,17
fix,17
generalizability,17
performance-issue,17
context-api,16
support,16
gcc,16
computer-vision,16
overflow,16
bug-fix,16
contributor-guidelines,16
compatibility-issue,15
extension,15
failure,15
dependency-issue,15
hooks,15
async-programming,15
refactoring,15
contribution-guidelines,15
generalization,15
model-loading,15
concurrency,14
issue-report,14
software-bug,14
support-request,14
tensorflow-lite,14
productivity,14
assertion-error,14
numpy,14
bugfix,14
transaction,14
request,13
library,13
validation,13
suggestion,13
object-detection,13
inference,13
android,13
onnx,13
keyboard-shortcuts,13
network,13
patch,13
error-report,12
standardization,12
memory-leak,12
settings,12
library-issue,12
undefined-behavior,12
cpu,12
layout,12
make-error,12
bitcoin-core,12
video-processing,12
ios,11
report,11
dependency,11
api-design,11
ux-improvement,11
component-lifecycle,11
programming,11
timeout,11
ci,11
segmentation-fault,11
java,11
visual,11
feature,11
node,10
needs-testing,10
needs-triage,10
frontend,10
react-hooks,10
ide,10
integration,10
version-specific,10
backward-compatibility,10
programming-language,10
design,10
import-error,10
undefined-reference,10
gui,10
in-progress,10
suspense,9
serialization,9
test,9
best-practices,9
best-practice,9
model-deployment,9
training-issue,9
data-preprocessing,9
version-compatibility,9
thread-safety,9
invalid-input,9
cudnn,9
compiler-error,9
improvement,9
segfault,9
assertion-failure,9
import,9
keyboard-shortcut,9
cli,9
open-cv,9
extension-issue,8
type-error,8
rendering-issue,8
server-side-rendering,8
missing-dependency,8
proposal,8
request-for-change,8
typescript,8
help-needed,8
user-error,8
permissions,8
version-specific-issue,8
software-issue,8
neural-networks,8
attribute-error,8
cursor,8
interface,8
diff-editor,8
needs-review,8
search,8
connection,8
intermittent,8
fatal-error,8
pr-readiness-checklist,8
